Loading combined dataset (1.72B train tokens)...
Combined: 3,363,193 train seqs, 16,900 val seqs, vocab=32000
Resuming from weights.pkl
d=1024 h=16 kv_h=4 l=16 ctx=512 bs=16
combined_epoch2 trained_bpe vocab=32000
242,288,640 params, 210199 steps/epoch, 210199 total
/home/johann/Dropbox/ML/experiments/transformer/.venv/lib/python3.14/site-packages/jax/_src/compiler.py:834: UserWarning: Error writing persistent compilation cache entry for 'jit_train_step': FileNotFoundError: [Errno 2] No such file or directory: '/home/johann/Dropbox/ML/experiments/transformer/.jax_cache/jit_step_bf16_fwd-d220050f0a73f05857a0f29d66052c5b1bb6a6fbf370b712eb55b09b524da218-atime'
  warnings.warn(
    step 156000/210199  loss=2.7457  4.4 steps/s  eta=207min
    step 157000/210199  loss=2.7449  4.4 steps/s  eta=203min
    step 158000/210199  loss=2.7440  4.4 steps/s  eta=199min
    step 159000/210199  loss=2.7432  4.4 steps/s  eta=195min
    step 160000/210199  loss=2.7424  4.4 steps/s  eta=191min
    step 161000/210199  loss=2.7416  4.4 steps/s  eta=187min
    step 162000/210199  loss=2.7407  4.4 steps/s  eta=184min
    step 163000/210199  loss=2.7398  4.4 steps/s  eta=180min
    step 164000/210199  loss=2.7391  4.4 steps/s  eta=176min
    step 165000/210199  loss=2.7382  4.4 steps/s  eta=172min
    step 166000/210199  loss=2.7373  4.4 steps/s  eta=168min
    step 167000/210199  loss=2.7365  4.4 steps/s  eta=165min
    step 168000/210199  loss=2.7356  4.4 steps/s  eta=161min
    step 169000/210199  loss=2.7348  4.4 steps/s  eta=157min
    step 170000/210199  loss=2.7340  4.4 steps/s  eta=153min
    step 171000/210199  loss=2.7332  4.4 steps/s  eta=149min
    step 172000/210199  loss=2.7324  4.4 steps/s  eta=146min
    step 173000/210199  loss=2.7316  4.4 steps/s  eta=142min
    step 174000/210199  loss=2.7308  4.4 steps/s  eta=138min
    step 175000/210199  loss=2.7300  4.4 steps/s  eta=134min
    step 176000/210199  loss=2.7293  4.4 steps/s  eta=130min
    step 177000/210199  loss=2.7285  4.4 steps/s  eta=127min
    step 178000/210199  loss=2.7277  4.4 steps/s  eta=123min
    step 179000/210199  loss=2.7270  4.4 steps/s  eta=119min
    step 180000/210199  loss=2.7262  4.4 steps/s  eta=115min
    step 181000/210199  loss=2.7254  4.4 steps/s  eta=111min
    step 182000/210199  loss=2.7247  4.4 steps/s  eta=107min
    step 183000/210199  loss=2.7240  4.4 steps/s  eta=104min
    step 184000/210199  loss=2.7232  4.4 steps/s  eta=100min
    step 185000/210199  loss=2.7225  4.4 steps/s  eta=96min
    step 186000/210199  loss=2.7217  4.4 steps/s  eta=92min
    step 187000/210199  loss=2.7210  4.4 steps/s  eta=88min
    step 188000/210199  loss=2.7202  4.4 steps/s  eta=85min
    step 189000/210199  loss=2.7194  4.4 steps/s  eta=81min
    step 190000/210199  loss=2.7186  4.4 steps/s  eta=77min
    step 191000/210199  loss=2.7178  4.4 steps/s  eta=73min
    step 192000/210199  loss=2.7171  4.4 steps/s  eta=69min
    step 193000/210199  loss=2.7163  4.4 steps/s  eta=66min
    step 194000/210199  loss=2.7156  4.4 steps/s  eta=62min
    step 195000/210199  loss=2.7148  4.4 steps/s  eta=58min
    step 196000/210199  loss=2.7141  4.4 steps/s  eta=54min
    step 197000/210199  loss=2.7134  4.4 steps/s  eta=50min
    step 198000/210199  loss=2.7127  4.4 steps/s  eta=46min
    step 199000/210199  loss=2.7121  4.4 steps/s  eta=43min
    step 200000/210199  loss=2.7114  4.4 steps/s  eta=39min
